"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,75 422 690,79 708 475,85 510 752,93 783 747,107 042 306,119 720 586,134 942 261
  Sub-Saharan Africa,,947,,6 237 924,6 761 344,6 211 237,6 633 203,7 466 593,9 855 568,10 570 519
  Northern Africa and Western Asia,,1833,,7 471 631,7 864 355,8 261 331,8 867 261,11 478 799,14 916 129,17 831 662
  Central and Southern Asia,,921,,12 913 106,10 604 668,10 013 959,9 459 367,9 859 683,9 662 404,9 699 640
  Eastern and South-Eastern Asia,,1832,,3 327 975,4 148 930,5 340 299,6 543 109,7 894 310,8 926 996,9 670 168
  Latin America and the Caribbean,,1830,,3 553 754,3 326 324,3 273 509,3 611 615,4 187 157,4 702 854,7 321 202
  Oceania (excluding Australia and New Zealand),,1835,, 114 440, 127 508, 139 830, 144 824, 139 717, 142 462, 147 564
  Australia and New Zealand,,927,,2 201 841,2 359 437,2 545 236,2 891 102,3 449 346,3 923 349,4 587 233
  Europe and Northern America,,1829,,39 602 019,44 515 909,49 725 351,55 633 266,62 566 701,67 590 824,75 114 273
  Developed regions,,901,,42 340 412,47 557 505,53 160 103,59 604 725,67 177 717,72 696 292,81 125 346
  Less developed regions,,902,,33 082 278,32 150 970,32 350 649,34 179 022,39 864 589,47 024 294,53 816 915
" Less developed regions, excluding least developed countries",,934,,27 572 290,26 293 270,27 320 633,29 358 636,34 617 916,40 272 379,45 667 714
" Less developed regions, excluding China",,948,,31 695 274,30 541 810,30 521 804,32 194 960,37 715 976,44 724 776,51 344 501
  Least developed countries,,941,,5 509 988,5 857 700,5 030 016,4 820 386,5 246 673,6 751 915,8 149 201
  Land-locked Developing Countries (LLDC),,1636,,7 578 670,6 658 264,6 180 896,6 142 167,6 049 745,7 117 801,7 758 651
  Small island developing States (SIDS),,1637,,1 097 502,1 342 364,1 643 456,1 936 047,2 289 240,2 525 968,2 671 180
  High-income countries,,1503,,37 032 388,42 917 272,49 828 008,57 935 930,68 332 225,75 873 719,86 569 390
  Middle-income countries,,1517,,33 695 021,32 171 195,31 859 584,32 005 226,34 071 846,38 394 173,41 883 420
 Upper-middle-income countries,,1502,,17 564 670,17 528 553,17 706 861,18 729 961,20 446 343,24 406 428,27 513 056
 Lower-middle-income countries,,1501,,16 130 351,14 642 642,14 152 723,13 275 265,13 625 503,13 987 745,14 370 364
  Low-income countries,,1500,,4 567 244,4 460 769,3 626 920,3 615 509,4 383 766,5 175 361,6 185 645
 AFRICA,,903,,7 410 539,7 737 176,7 054 986,7 336 797,8 263 051,10 720 794,11 950 391
  Eastern Africa,,910,,2 889 827,2 413 817,2 363 214,2 240 158,2 337 739,3 319 579,3 835 823
   Burundi,,108,B R, 169 843, 130 688, 64 534, 98 361, 125 559, 151 329, 174 642
   Comoros,,174,B, 7 362, 7 325, 7 288, 6 923, 6 558, 6 484, 6 452
   Djibouti,,262,B R, 57 979, 47 298, 47 587, 40 779, 48 638, 53 270, 56 875
   Eritrea,,232,I R, 5 620, 5 858, 6 096, 7 302, 7 134, 7 108, 6 119
   Ethiopia,,231,B R, 548 106, 382 787, 289 165, 244 617, 270 679, 570 233, 548 710
   Kenya,,404,B R, 136 830, 296 556, 354 919, 372 990, 481 832, 563 977, 520 172
   Madagascar,,450,C R, 10 569, 9 276, 10 265, 11 314, 12 495, 13 805, 15 301
   Malawi,,454,B R, 581 204, 125 426, 121 090, 115 730, 113 853, 103 639, 97 750
   Mauritius*,,480,C, 1 850, 4 265, 9 838, 10 704, 11 648, 12 753, 12 890
   Mayotte*,1,175,B R, 6 449, 11 637, 21 928, 31 812, 38 257, 43 729, 59 931
   Mozambique,,508,B R, 56 272, 77 046, 92 527, 138 404, 158 366, 166 284, 173 360
   Réunion*,2,638,B, 26 486, 36 449, 48 414, 55 880, 60 322, 62 672, 64 917
   Rwanda,,646,B R, 79 261, 105 952, 171 335, 209 908, 212 853, 258 320, 254 000
   Seychelles,,690,B, 1 517, 2 127, 2 737, 3 177, 3 616, 3 837, 3 914
   Somalia,,706,I R, 234 093, 9 245, 9 469, 9 670, 22 893, 19 406, 26 305
   South Sudan,,728,B R,..,..,..,.., 111 626, 413 168, 438 847
   Uganda,,800,B R, 260 936, 298 706, 293 421, 301 178, 251 027, 435 330, 892 649
   United Republic of Tanzania*,,834,B R, 290 635, 558 954, 467 784, 284 170, 155 256, 193 950, 213 010
   Zambia,,894,B R, 136 434, 119 009, 168 589, 124 267, 74 021, 65 456, 90 399
   Zimbabwe,,716,B R, 278 381, 185 213, 176 228, 172 972, 171 106, 174 829, 179 580
  Middle Africa,,911,, 716 302,1 307 038, 860 019, 958 056,1 195 189,1 650 942,1 830 738
   Angola,,24,B R, 15 375, 19 058, 22 741, 31 595, 174 035, 327 543, 325 033
   Cameroon,,120,B R, 120 098, 110 846, 103 234, 119 374, 129 989, 257 035, 292 955
   Central African Republic,,140,C R, 31 548, 46 737, 57 893, 45 110, 44 274, 38 421, 42 189
   Chad,,148,B R, 34 209, 41 286, 48 362, 192 385, 230 213, 251 328, 297 946
   Congo,,178,B R, 65 075, 95 813, 152 773, 145 495, 194 068, 176 378, 176 203
   Democratic Republic of the Congo,,180,B R, 391 077, 915 584, 379 295, 320 650, 305 189, 416 052, 493 819
   Equatorial Guinea,,226,C, 1 275, 1 699, 2 123, 3 024, 3 924, 48 084, 52 902
   Gabon,,266,C R, 55 016, 73 627, 91 445, 98 717, 112 149, 134 904, 148 619
   Sao Tome and Principe,,678,C, 2 629, 2 388, 2 153, 1 706, 1 348, 1 197, 1 072
  Northern Africa,,912,,1 172 615, 975 832, 843 749, 703 594, 796 458, 865 226,1 379 872
   Algeria,,12,B R, 123 720, 118 336, 112 952, 89 294, 102 374, 112 951, 118 236
   Egypt,,818,B R, 81 838, 78 410, 86 550, 119 795, 135 913, 146 208, 254 385
   Libya,,434,C R, 214 368, 207 135, 198 486, 179 727, 195 889, 221 993, 232 740
   Morocco,,504,C R, 25 871, 24 096, 25 801, 27 736, 35 308, 46 037, 49 651
   Sudan,3,729,B R, 706 511, 527 695, 400 468, 268 335, 304 157, 308 638, 693 970
   Tunisia,,788,C R, 19 084, 18 822, 18 040, 17 040, 20 936, 27 279, 28 671
   Western Sahara,,732,I, 1 223, 1 338, 1 452, 1 667, 1 881, 2 120, 2 219
  Southern Africa,,913,, 553 453, 483 270, 521 843, 672 894,1 000 721,1 571 935,1 352 479
   Botswana,,72,B R, 10 896, 16 651, 31 094, 35 502, 40 844, 44 402, 47 451
   Eswatini,,748,B R, 35 086, 16 456, 16 163, 16 023, 15 847, 15 725, 15 937
   Lesotho,,426,C R, 3 922, 3 377, 2 832, 2 888, 2 945, 4 115, 5 523
   Namibia,,516,B R, 56 893, 54 062, 62 393, 49 722, 48 023, 46 879, 50 367
   South Africa,,710,B R, 446 656, 392 724, 409 361, 568 759, 893 062,1 460 814,1 233 201
  Western Africa,,914,,2 078 342,2 557 219,2 466 161,2 762 095,2 932 944,3 313 112,3 551 479
   Benin,,204,C B R, 36 333, 49 399, 62 465, 125 952, 165 593, 194 228, 208 657
   Burkina Faso,,854,B R, 181 818, 240 948, 269 808, 311 787, 353 499, 369 348, 379 658
   Cabo Verde,,132,B R, 4 502, 4 888, 5 274, 6 177, 7 080, 7 377, 7 803
   Côte d'Ivoire,,384,C B R, 804 677, 925 684, 965 148,1 010 400,1 056 078,1 102 503,1 144 609
   Gambia,,270,B R, 51 817, 68 842, 85 376, 85 643, 87 714, 91 039, 101 893
   Ghana,,288,B R, 81 821, 125 456, 94 322, 150 405, 157 736, 193 718, 222 009
   Guinea,,324,C B R, 202 361, 387 968, 280 967, 119 891, 85 495, 52 464, 50 052
   Guinea-Bissau,,624,B R, 7 679, 14 128, 10 295, 10 522, 10 928, 11 507, 9 078
   Liberia,,430,B R, 41 040, 96 916, 69 739, 36 020, 42 263, 48 032, 37 253
   Mali,,466,B R, 78 687, 85 316, 91 723, 125 286, 167 990, 207 286, 239 521
   Mauritania,,478,C R, 54 081, 42 547, 26 203, 25 569, 36 174, 72 482, 79 083
   Niger,,562,B R, 60 242, 76 248, 64 068, 65 315, 66 440, 133 083, 186 037
   Nigeria,,566,C R, 200 455, 204 908, 217 671, 405 102, 413 846, 541 228, 594 890
   Saint Helena*,4,654,C,  68,  47,  47,  78,  112,  126,  131
   Senegal,,686,B R, 131 570, 140 489, 110 409, 113 444, 120 213, 125 094, 129 338
   Sierra Leone,,694,B R, 99 250, 42 579, 43 790, 69 518, 35 643, 25 753, 23 338
   Togo,,768,C R, 41 941, 50 856, 68 856, 100 986, 126 140, 137 844, 138 129
 ASIA,,935,,22 540 097,21 642 121,22 771 840,24 166 143,28 436 334,32 640 303,35 821 598
  Central Asia,,5500,,3 658 339,3 249 196,2 861 949,2 822 686,2 774 394,2 796 457,2 878 594
   Kazakhstan,,398,B R,1 953 036,1 754 513,1 550 614,1 630 207,1 709 782,1 788 232,1 881 976
   Kyrgyzstan,,417,B R, 362 667, 301 700, 226 897, 181 335, 137 469, 121 766, 118 555
   Tajikistan,,762,B R, 240 928, 196 453, 167 846, 159 063, 158 028, 156 462, 156 857
   Turkmenistan,,795,B R, 172 326, 141 443, 116 257, 111 839, 107 345, 104 845, 102 563
   Uzbekistan,,860,B R, 929 382, 855 087, 800 335, 740 242, 661 770, 625 152, 618 643
  Eastern Asia,,906,,1 962 463,2 365 493,2 841 467,3 290 427,3 741 193,4 122 535,4 698 048
   China*,,156,C, 184 407, 219 180, 253 952, 299 027, 344 103, 377 910, 401 723
"   China, Hong Kong SAR*",,344,B R,1 093 929,1 268 711,1 443 493,1 536 114,1 632 411,1 720 131,1 854 522
"   China, Macao SAR*",,446,B, 108 668, 121 269, 131 400, 148 921, 172 099, 201 477, 216 169
"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..
   Dem. People's Republic of Korea,,408,I, 16 710, 17 581, 18 452, 20 348, 22 244, 24 348, 24 895
   Japan,,392,C, 536 552, 682 159, 889 516,1 080 357,1 161 670,1 182 119,1 423 840
   Mongolia,,496,C R, 3 299, 3 465, 3 642, 3 900, 4 182, 6 602, 7 082
   Republic of Korea,,410,C R, 18 898, 53 128, 101 012, 201 760, 404 484, 609 948, 769 817
  South-Eastern Asia,,920,,1 365 512,1 783 437,2 498 832,3 252 682,4 153 117,4 804 461,4 972 120
   Brunei Darussalam,,96,B, 31 344, 36 916, 42 489, 43 176, 43 864, 44 552, 48 552
   Cambodia,,116,B R, 19 291, 46 869, 74 447, 56 551, 38 616, 34 108, 36 611
   Indonesia,,360,B R, 235 727, 187 360, 138 992, 124 023, 130 965, 141 407, 148 967
   Lao People's Democratic Republic,,418,C R, 11 060, 11 327, 10 384, 9 441, 12 822, 16 203, 17 338
   Malaysia*,,458,C R, 290 112, 402 404, 640 919, 784 963, 947 418,1 284 461,1 320 295
   Myanmar,,104,C, 61 235, 52 174, 45 861, 38 519, 34 840, 33 131, 34 548
   Philippines,,608,C R, 72 724, 99 821, 156 191, 124 445, 100 666, 102 079, 108 420
   Singapore,,702,B, 381 420, 535 081, 750 020, 951 832,1 207 938,1 387 011,1 411 131
   Thailand,,764,B R, 245 207, 383 430, 610 093,1 093 362,1 604 500,1 727 512,1 810 639
   Timor-Leste,,626,B R, 4 504, 4 980, 5 507, 5 708, 5 703, 3 372, 3 323
   Viet Nam,,704,C R, 12 888, 23 075, 23 929, 20 662, 25 785, 30 625, 32 296
  Southern Asia,,5501,,9 254 767,7 355 472,7 152 010,6 636 681,7 085 289,6 865 947,6 821 046
   Afghanistan,,4,B R, 25 128, 32 417, 33 069, 38 033, 44 550, 167 882, 74 909
   Bangladesh,,50,B R, 405 520, 430 746, 455 946, 490 124, 634 998, 670 438,1 021 430
   Bhutan,,64,B, 4 398, 5 168, 5 937, 7 537, 9 137, 7 710, 8 088
   India,,356,B R,3 627 331,3 343 260,3 107 740,3 005 251,2 874 523,2 736 332,2 604 792
   Iran (Islamic Republic of),,364,C R,1 922 508,1 325 240,1 111 079,1 150 470,1 231 978,1 242 536,1 279 717
   Maldives,,462,C, 3 912, 9 267, 12 185, 17 966, 12 947, 7 928, 8 642
   Nepal,,524,B R, 304 008, 473 137, 475 941, 444 877, 390 722, 353 110, 340 634
   Pakistan,,586,B R,2 943 824,1 718 085,1 931 952,1 464 215,1 868 169,1 661 050,1 463 776
   Sri Lanka,,144,B R, 18 138, 18 152, 18 161, 18 208, 18 265, 18 961, 19 058
  Western Asia,,922,,6 299 016,6 888 523,7 417 582,8 163 667,10 682 341,14 050 903,16 451 790
   Armenia,,51,B R, 388 254, 409 004, 387 730, 277 757, 125 478, 113 763, 112 264
   Azerbaijan*,,31,B R, 202 744, 194 561, 186 379, 166 691, 147 389, 137 703, 131 221
   Bahrain,,48,C R, 50 482, 61 752, 74 017, 115 404, 185 062, 192 941, 241 856
   Cyprus*,,196,B, 23 342, 34 337, 45 331, 69 317, 105 995, 99 336, 104 687
   Georgia*,,268,B R, 171 185, 85 592, 42 796, 40 081, 41 085, 43 115, 44 489
   Iraq,,368,C R, 27 887, 84 639, 90 061, 52 986, 45 931, 150 135, 164 339
   Israel,,376,B R, 861 927, 961 855, 997 597,1 021 698,1 063 303,1 098 828,1 067 058
   Jordan,,400,C R, 559 876, 752 372, 944 868,1 079 569,1 370 069,1 572 153,1 701 054
   Kuwait,,414,C R, 419 513, 330 502, 366 128, 414 812, 562 701, 964 281,1 046 729
   Lebanon,,422,B R, 255 771, 297 690, 339 608, 359 413, 380 134, 994 598, 873 056
   Oman,,512,C R, 61 523, 122 199, 135 219, 138 319, 157 481, 304 226, 388 811
