"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Qatar,,634,C, 83 821, 91 701, 85 455, 147 598, 249 842, 271 279, 383 407
   Saudi Arabia,,682,C R,1 673 572,1 706 217,1 745 619,2 032 014,2 496 675,3 309 864,4 219 712
   State of Palestine*,5,275,B, 156 231, 153 439, 150 647, 149 912, 149 180, 148 453, 148 047
   Syrian Arab Republic,,760,C R, 350 063, 407 495, 406 935, 429 874, 872 613, 408 749, 436 432
   Turkey,,792,B R, 586 357, 622 235, 664 956, 702 414, 743 881,1 956 031,2 928 487
   United Arab Emirates,,784,C R, 374 615, 514 250, 689 810, 892 816,1 853 251,2 104 956,2 296 540
   Yemen,,887,C R, 51 853, 58 683, 64 426, 72 992, 132 271, 180 492, 163 601
 EUROPE,,908,,25 488 837,27 576 826,29 357 473,32 814 734,36 540 570,38 951 008,44 726 904
  Eastern Europe,,923,,11 795 612,11 331 040,10 740 499,10 386 551,10 075 148,10 438 029,10 857 022
   Belarus,,112,B, 676 956, 642 975, 608 993, 599 994, 590 994, 586 944, 578 377
   Bulgaria,,100,B, 12 463, 18 793, 25 122, 34 480, 42 446, 63 745, 92 778
   Czechia,,203,C, 52 989, 77 276, 101 562, 140 821, 162 333, 177 226, 227 980
   Hungary,,348,B, 191 325, 175 032, 158 738, 192 571, 226 404, 239 789, 281 502
   Poland,,616,B, 645 595, 560 676, 486 928, 425 470, 380 154, 355 232, 426 805
   Republic of Moldova*,,498,B, 306 109, 211 934, 146 731, 103 198, 77 290, 62 907, 61 695
   Romania,,642,B, 78 224, 74 594, 71 133, 75 009, 89 544, 134 290, 318 364
   Russian Federation,,643,B,5 869 526,6 003 475,5 917 446,5 860 991,5 680 309,5 928 065,5 924 822
   Slovakia,,703,B, 23 108, 38 792, 65 123, 71 775, 79 381, 88 613, 96 610
   Ukraine*,,804,B,3 939 317,3 527 493,3 158 723,2 882 242,2 746 293,2 801 218,2 848 089
  Northern Europe,,924,,3 469 184,3 790 650,4 189 794,5 024 401,5 847 081,6 843 177,7 716 800
   Channel Islands*,6,830,B, 32 655, 32 051, 34 067, 37 330, 40 599, 42 969, 43 897
   Denmark*,7,208,B, 120 778, 155 914, 191 049, 227 286, 258 743, 304 445, 363 098
   Estonia,,233,B, 210 306, 179 487, 148 668, 139 457, 130 246, 114 640, 112 510
   Faroe Islands*,8,234,B, 1 845, 1 325, 1 672, 2 133, 2 396, 2 702, 3 270
   Finland*,,246,B, 31 573, 50 154, 68 734, 95 740, 113 376, 155 541, 187 230
   Iceland,,352,B, 5 336, 7 011, 8 685, 13 079, 17 472, 20 002, 29 708
   Ireland,,372,B, 115 868, 118 808, 177 593, 279 136, 370 102, 382 918, 436 500
   Isle of Man*,9,833,B, 18 398, 19 338, 20 277, 21 261, 22 086, 21 642, 22 053
   Latvia,,428,B, 355 207, 303 877, 252 546, 221 980, 189 111, 161 407, 142 400
   Lithuania,,440,B, 184 673, 144 946, 113 765, 107 020, 91 166, 78 513, 72 036
   Norway*,,578,B, 93 025, 116 080, 147 614, 184 700, 257 366, 357 005, 413 032
   Sweden,,752,B, 405 682, 485 077, 523 587, 587 300, 689 210, 815 652, 995 902
   United Kingdom*,10,826,B,1 893 838,2 176 582,2 501 537,3 107 979,3 665 208,4 385 741,4 895 164
  Southern Europe,,925,,2 277 442,3 270 535,3 992 732,6 152 869,8 329 622,8 388 373,9 310 624
   Albania,,8,B, 35 434, 38 070, 40 705, 31 746, 25 883, 25 514, 23 902
   Andorra,,20,C, 17 901, 20 618, 20 054, 23 832, 24 766, 20 779, 22 241
   Bosnia and Herzegovina,,70,I R, 29 462, 36 361, 43 261, 24 806, 20 364, 20 185, 19 162
   Croatia,,191,B, 252 907, 358 352, 310 475, 307 628, 304 782, 300 620, 282 492
   Gibraltar*,11,292,B, 4 181, 4 185, 4 189, 4 693, 5 198, 5 474, 5 534
   Greece,,300,B, 288 101, 412 846, 551 871, 603 030, 680 418, 672 395, 697 817
   Holy See*,,336,I,  386,  399,  411,  417,  408,  414,  437
   Italy,,380,B, 785 805, 965 401,1 144 997,2 134 500,3 124 004,3 167 530,3 421 084
   Malta,,470,B, 8 065, 9 374, 11 232, 12 661, 15 890, 24 310, 48 705
   Montenegro,,499,B,..,..,..,.., 46 873, 43 541, 43 004
   North Macedonia,,807,B, 55 481, 63 762, 73 280, 74 447, 75 634, 76 234, 76 571
   Portugal,,620,B, 225 860, 273 485, 331 153, 394 410, 391 289, 466 424, 522 027
   San Marino,,674,C, 1 582, 1 719, 1 870, 1 916, 2 119, 2 328, 2 552
   Serbia*,,688,B, 52 557, 480 846, 540 271, 471 760, 461 518, 452 261, 460 518
   Slovenia,,705,B, 88 563, 84 164, 99 736, 100 477, 108 648, 103 156, 115 149
   Spain*,,724,B, 431 157, 520 953, 819 227,1 966 546,3 041 828,3 007 208,3 569 429
  Western Europe,,926,,7 946 599,9 184 601,10 434 448,11 250 913,12 288 719,13 281 429,16 842 458
   Austria,,40,B, 424 952, 471 591, 518 229, 588 240, 667 710, 768 586, 889 788
   Belgium,,56,B, 626 040, 636 215, 632 093, 627 809, 776 925, 913 499,1 021 362
   France*,12,250,B,2 897 891,3 041 910,3 185 929,3 436 741,3 755 459,4 069 765,4 394 139
   Germany,,276,B,2 643 053,3 566 009,4 488 965,4 726 269,4 963 574,5 182 457,7 870 822
   Liechtenstein,,438,B, 4 950, 6 243, 7 503, 9 464, 11 475, 12 194, 13 258
   Luxembourg,,442,B, 57 733, 63 814, 70 464, 75 667, 81 722, 122 759, 146 409
   Monaco,,492,B, 10 888, 11 105, 11 329, 10 990, 10 807, 13 384, 13 704
   Netherlands*,13,528,B, 589 920, 677 928, 791 035, 892 683, 951 246,1 044 005,1 223 929
   Switzerland,,756,B, 691 172, 709 786, 728 901, 883 050,1 069 801,1 154 780,1 269 047
 LATIN AMERICA AND THE CARIBBEAN,,904,,3 553 754,3 326 324,3 273 509,3 611 615,4 187 157,4 702 854,7 321 202
  Caribbean,,915,, 492 111, 539 446, 589 189, 619 659, 654 333, 702 214, 752 674
   Anguilla*,14,660,B R, 1 312, 1 733, 2 153, 2 474, 2 688, 2 877, 3 009
   Antigua and Barbuda,,28,B R, 6 254, 9 504, 12 755, 13 689, 14 624, 15 558, 16 266
   Aruba*,15,533,B R, 8 015, 12 300, 16 585, 17 981, 19 016, 20 006, 29 286
   Bahamas,,44,B R, 13 028, 15 034, 17 040, 21 918, 26 862, 29 278, 31 422
   Barbados,,52,B R, 13 959, 14 989, 16 019, 17 049, 18 079, 18 987, 19 201
"   Bonaire, Sint Eustatius and Saba*",16,535,B,..,..,..,..,..,..,..
   British Virgin Islands*,18,92,B R, 3 909, 5 012, 6 572, 7 615, 8 781, 10 122, 11 483
   Cayman Islands*,19,136,C R, 4 728, 6 327, 9 505, 10 164, 11 752, 12 787, 14 225
   Cuba,,192,B, 17 277, 13 628, 10 333, 6 541, 4 141, 2 622, 1 712
   Curaçao*,20,531,B R,..,..,..,.., 20 434, 22 144, 32 252
   Dominica,,212,B, 1 210, 1 498, 1 768, 2 253, 3 910, 3 878, 3 970
   Dominican Republic,,214,B R, 109 474, 124 539, 139 603, 147 591, 155 671, 195 841, 221 252
   Grenada,,308,B, 2 157, 2 798, 3 439, 3 478, 3 517, 3 555, 3 921
   Guadeloupe*,21,312,B, 33 226, 38 318, 43 410, 47 792, 52 174, 52 276, 52 292
   Haiti,,332,B R, 8 478, 8 053, 7 650, 7 267, 7 630, 8 011, 8 385
   Jamaica,,388,B R, 10 494, 11 471, 12 449, 12 036, 11 653, 11 400, 11 621
   Martinique*,22,474,B R, 19 614, 24 328, 29 041, 31 143, 33 245, 39 742, 39 425
   Montserrat*,23,500,B,  984,  787,  589,  605,  627,  655,  668
   Puerto Rico*,24,630,B, 168 555, 177 328, 186 558, 185 364, 162 030, 149 578, 132 264
   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
   Saint Kitts and Nevis,,659,B R, 1 568, 2 052, 2 803, 3 181, 3 439, 3 527, 3 659
   Saint Lucia,,662,B R, 2 687, 3 592, 4 911, 4 998, 4 673, 4 494, 4 334
   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,,670,B R, 2 042, 2 124, 2 208, 2 238, 2 267, 2 282, 2 295
   Sint Maarten (Dutch part)*,25,534,B R,..,..,.., 6 814, 13 633, 14 218, 15 023
   Trinidad and Tobago,,780,B R, 27 138, 24 691, 22 465, 24 165, 25 074, 25 557, 39 670
   Turks and Caicos Islands*,26,796,B R, 2 442, 3 396, 4 350, 6 328, 8 309, 10 964, 12 423
   United States Virgin Islands*,27,850,B, 27 146, 28 481, 29 881, 29 921, 29 962, 29 993, 30 009
  Central America,,916,, 926 578, 655 672, 552 691, 689 856, 875 999, 935 476,1 136 071
   Belize,,84,B R , 14 011, 15 934, 17 857, 20 386, 22 915, 27 142, 30 833
   Costa Rica,,188,B R, 205 455, 179 802, 154 148, 181 953, 209 724, 214 084, 257 093
   El Salvador,,222,B R, 25 142, 20 973, 16 804, 18 995, 21 185, 22 053, 22 423
   Guatemala,,320,B R, 151 642, 89 275, 26 908, 31 166, 35 467, 39 124, 44 395
   Honduras,,340,B R, 132 850, 73 365, 13 880, 13 458, 12 982, 18 207, 18 620
   Mexico,,484,B R, 347 321, 228 960, 267 155, 352 924, 478 931, 505 459, 596 115
   Nicaragua,,558,B R, 20 561, 13 255, 14 966, 17 145, 18 210, 19 538, 20 484
   Panama,,591,B R, 29 596, 34 108, 40 973, 53 829, 76 585, 89 869, 146 108
  South America,,931,,2 135 065,2 131 206,2 131 629,2 302 100,2 656 825,3 065 164,5 432 457
   Argentina,,32,B R, 861 789, 842 042, 822 295, 898 855, 974 261,1 125 991,1 219 195
   Bolivia (Plurinational State of),,68,B R, 36 209, 40 792, 44 993, 51 726, 58 466, 68 059, 78 160
   Brazil,,76,B R, 372 370, 345 405, 318 440, 295 563, 272 719, 326 847, 496 827
   Chile,,152,B, 52 954, 72 785, 92 615, 144 946, 197 277, 320 010, 814 942
   Colombia,,170,B, 51 168, 52 277, 53 386, 51 585, 61 918, 74 249, 951 658
   Ecuador,,218,B R, 40 132, 57 214, 74 296, 92 421, 181 756, 187 161, 377 927
   Falkland Islands (Malvinas)*,28,238,B,  367,  358,  431,  491,  629,  698,  868
   French Guiana*,29,254,B R, 28 769, 33 262, 37 754, 43 739, 49 724, 55 709, 62 607
   Guyana,,328,B R, 1 895, 2 947, 3 999, 5 051, 3 652, 3 867, 16 672
   Paraguay,,600,B R, 93 068, 88 701, 84 556, 80 545, 76 905, 75 159, 81 256
   Peru,,604,B R, 28 312, 28 670, 33 461, 38 918, 48 609, 63 684, 582 115
   Suriname,,740,C R, 8 316, 10 229, 12 568, 15 324, 18 055, 19 583, 21 530
   Uruguay,,858,B R, 52 286, 50 001, 47 779, 44 659, 41 768, 43 157, 57 330
   Venezuela (Bolivarian Republic of),,862,B R, 507 430, 506 523, 505 056, 538 277, 671 086, 700 990, 671 370
 NORTHERN AMERICA,,905,,14 113 182,16 939 083,20 367 878,22 818 532,26 026 131,28 639 816,30 387 369
   Bermuda*,30,60,B, 8 126, 8 632, 9 144, 9 325, 9 512, 9 791, 10 015
   Canada,,124,B,2 223 666,2 508 673,2 852 779,3 163 147,3 524 687,3 895 493,4 220 962
   Greenland*,31,304,B, 2 810, 2 246, 1 985, 2 095, 1 972, 2 058, 2 077
   Saint Pierre and Miquelon*,32,666,B,  539,  638,  702,  550,  486,  470,  475
   United States of America*,33,840,B,11 878 041,14 418 894,17 503 268,19 643 415,22 489 474,24 732 004,26 153 840
 OCEANIA ,,909,,2 316 281,2 486 945,2 685 066,3 035 926,3 589 063,4 065 811,4 734 797
  Australia and New Zealand,,927,,2 201 841,2 359 437,2 545 236,2 891 102,3 449 346,3 923 349,4 587 233
   Australia*,,36,B,1 942 017,2 060 050,2 196 350,2 458 840,2 960 950,3 386 400,3 873 673
   New Zealand*,34,554,B, 259 824, 299 387, 348 886, 432 262, 488 396, 536 949, 713 560
  Melanesia,,928,, 40 488, 42 739, 42 330, 46 330, 49 163, 53 974, 56 259
   Fiji,,242,B R, 6 436, 6 275, 6 118, 5 871, 6 214, 6 330, 6 486
   New Caledonia*,,540,B, 16 788, 19 754, 22 719, 25 496, 28 272, 32 700, 34 857
   Papua New Guinea,,598,C R, 14 348, 13 694, 10 430, 12 120, 11 959, 12 206, 12 173
   Solomon Islands,,90,B R, 1 877, 1 850, 1 757, 1 441, 1 214, 1 135, 1 105
   Vanuatu,,548,B R, 1 039, 1 166, 1 306, 1 402, 1 504, 1 603, 1 638
  Micronesia,,954,, 48 111, 55 641, 65 258, 64 621, 56 989, 56 064, 58 798
   Guam*,35,316,B, 30 391, 33 090, 35 790, 36 141, 36 492, 36 843, 38 964
   Kiribati,,296,B, 1 055, 1 084, 1 095, 1 175, 1 356, 1 380, 1 476
   Marshall Islands,,584,B,  437,  564,  727,  932, 1 194, 1 273, 1 277
   Micronesia (Fed. States of),,583,B, 1 586, 1 223, 1 395, 1 340, 1 303, 1 283, 1 317
   Nauru,,520,C R, 1 309, 1 210, 1 111, 1 045,  420,  796,  904
   Northern Mariana Islands*,36,580,B, 12 332, 16 529, 22 735, 21 565, 13 945, 12 548, 12 660
   Palau,,585,B, 1 001, 1 941, 2 405, 2 423, 2 279, 1 941, 2 200
  Polynesia*,,957,, 25 841, 29 128, 32 242, 33 873, 33 565, 32 424, 32 507
   American Samoa*,,16,B, 10 108, 11 061, 12 014, 11 735, 11 457, 11 515, 11 561
   Cook Islands*,37,184,B R, 1 144, 1 189, 1 233, 1 553, 1 874, 2 078, 2 289
   French Polynesia*,38,258,B R, 10 386, 11 671, 12 725, 13 881, 13 603, 12 922, 12 931
   Niue*,39,570,B,  216,  223,  230,  240,  270,  269,  269
   Samoa,,882,B R, 1 586, 2 243, 2 897, 2 806, 2 528, 2 104, 1 990
   Tokelau*,40,772,B R,  164,  238,  346,  503,  585,  621,  652
   Tonga,,776,B R, 1 423, 1 556, 1 703, 1 977, 2 104, 1 796, 1 698
   Tuvalu,,798,C,  138,  115,  97,  94,  99,  104,  107
   Wallis and Futuna Islands*,41,876,B R,  676,  832,  997, 1 084, 1 045, 1 015, 1 010
