,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,Emigracion_Promedio
210,   United States of America*,840,23251026.0,28451053.0,34814053.0,39258293.0,44183643.0,48178877.0,50632836.0,38395683.0
115,   Russian Federation,643,11524948.0,11928927.0,11900297.0,11667588.0,11194710.0,11643276.0,11636911.0,11642379.57142857
150,   Germany,276,5936181.0,7464406.0,8992631.0,9402447.0,9812263.0,10220418.0,15762457.0,9655829.0
84,   India,356,7594801.0,6952238.0,6411331.0,5936740.0,5574018.0,5210847.0,4878704.0,6079811.285714285
117,   Ukraine*,804,6892920.0,6172338.0,5527087.0,5050302.0,4818767.0,4915142.0,4997387.0,5481991.857142857
149,   France*,250,5897267.0,6087993.0,6278718.0,6737600.0,7309986.0,7878338.0,8524876.0,6959254.0
102,   Saudi Arabia,682,4998445.0,5122702.0,5263387.0,6501819.0,8429956.0,10771366.0,13454842.0,7791788.142857143
207,   Canada,124,4333318.0,4864778.0,5511914.0,6078985.0,6761226.0,7428657.0,8049323.0,6146885.857142857
130,   United Kingdom*,826,3650286.0,4155293.0,4730165.0,5926156.0,7119664.0,8406996.0,9359587.0,6192592.428571428
211,   Australia*,36,3955213.0,4153330.0,4386250.0,4878030.0,5882980.0,6729730.0,7685860.0,5381627.571428572
88,   Pakistan,586,6208204.0,3669308.0,4181912.0,3174558.0,3943681.0,3506520.0,3276580.0,3994394.714285714
58,   Kazakhstan,398,3619200.0,3251968.0,2874194.0,3103027.0,3334937.0,3546060.0,3732073.0,3351637.0
85,   Iran (Islamic Republic of),364,4291601.0,2937668.0,2476469.0,2552206.0,2722397.0,2729939.0,2797235.0,2929645.0
64,"   China, Hong Kong SAR*",344,2218473.0,2443798.0,2669122.0,2721235.0,2779950.0,2841113.0,2962492.0,2662311.8571428573
44,   C̫te d'Ivoire,384,1816426.0,2076394.0,2163644.0,2265090.0,2366537.0,2470613.0,2564857.0,2246223.0
106,   United Arab Emirates,784,1306574.0,1824118.0,2447010.0,3281115.0,7316697.0,7995126.0,8716332.0,4698138.857142857
