Series Name,Series Code,Country Name,Country Code,2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3]
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Angola,AGO,..,15.2349996566772,16.6866664886475,26.5100002288818,26.296667098999,24.6733341217041,27.2399997711182,23.8799991607666,26.9400005340576,28.7999992370605,22.8099994659424,16.0550003051758,26.1000003814697,17.6550006866455,19.2900009155273,19.0900001525879
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Australia,AUS,9.49815845489502,9.76183700561523,9.66070175170898,9.52260112762451,9.64763355255127,9.31415176391602,8.42786884307861,8.14570045471191,7.76580667495728,8.12025547027588,7.58062887191772,7.42235851287842,7.61112499237061,7.58811902999878,7.30895090103149,7.21491289138794
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Austria,AUT,6.49422216415405,6.72368431091309,6.70269250869751,6.74153852462769,7.03938770294189,6.88938760757446,6.91792440414429,6.96867942810059,6.44084739685059,6.18281269073486,5.69630765914917,6.18260860443115,5.77169227600098,5.51102924346924,5.64294099807739,6.36676454544067
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bahrain,BHR,..,3.24749994277954,3.20250010490417,4.77464294433594,4.57214307785034,4.99071407318115,3.18321418762207,2.79357147216797,3.27387094497681,3.64516139030457,3.59981822967529,3.72206354141235,3.52349209785461,3.60682535171509,3.56403851509094,3.32730770111084
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Belgium,BEL,7.67214298248291,7.05939388275146,7.33939409255981,7.17343759536743,7.2571873664856,7.2972412109375,7.35900020599365,7.42999982833862,7.31341457366943,7.12395334243774,6.57928562164307,7.78724145889282,7.54374980926514,7.31634616851807,7.03980398178101,7.58080005645752
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brazil,BRA,6.76392841339111,6.04666662216187,5.72964286804199,5.48379325866699,5.85655164718628,3.47241377830505,5.83551740646362,4.93190479278564,6.47137928009033,7.69758605957031,7.65956544876099,6.5704345703125,6.82739114761353,5.09208345413208,9.56652164459229,9.77285671234131
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cameroon,CMR,..,14.0579996109009,6.92000007629395,6.98999977111816,10.8299999237061,12.1499996185303,14.8366670608521,11.9549999237061,14.8599996566772,10.7875003814697,10.9075002670288,10.1949996948242,5.99249982833862,15.960000038147,16.1700000762939,14.6899995803833
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Canada,CAN,7.80263566970825,8.01135349273682,8.32251930236816,8.39007377624512,7.84075164794922,7.21079158782959,7.29465770721436,7.25061225891113,8.01679992675781,7.69337558746338,7.82936906814575,7.93882608413696,8.2810001373291,7.43640899658203,7.11757564544678,6.2675609588623
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chile,CHL,4.63800001144409,3.81900000572205,3.49600005149841,4.56454563140869,3.73818182945251,4.64499998092651,4.38500022888184,3.77500009536743,4.58555555343628,4.95222234725952,3.21499991416931,2.64428567886353,3.52142858505249,4.34714269638062,7.53142833709717,7.56714296340942
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Costa Rica,CRI,3.375,3.20833325386047,3.125,3.125,3.33333325386047,3.33333325386047,3.33333325386047,3.45833325386047,5.5,5.5,4.16666650772095,5.83333349227905,5.875,5.95833349227905,5.125,5.125
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Côte d'Ivoire,CIV,..,5.4316668510437,5.00166654586792,5.40000009536743,3.91249990463257,3.60999989509583,2.85750007629395,2.76999998092651,3.71250009536743,4.09499979019165,3.94000005722046,3.39599990844727,3.39599990844727,3.32599997520447,2.25,2.70833325386047
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Czech Republic,CZE,8.74722194671631,8.97388935089111,10.2311115264893,8.93722248077393,9.16157913208008,8.26045417785645,9.76818180084229,8.41199970245361,8.87714290618896,7.8695240020752,8.20333290100098,8.98173904418945,8.76043510437012,9.11304378509521,8.01045417785645,8.71043491363525
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Dominican Republic,DOM,9.51399993896484,9.78250026702881,8.43249988555908,10.1424999237061,7.52400016784668,9.69400024414063,8.78714275360107,7.90428590774536,7.32571411132813,7.63857126235962,7.8439998626709,8.76599979400635,9.3633337020874,9.618332862854,10.4233331680298,10.6833333969116
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,France,FRA,6.82467889785767,6.72933340072632,6.672203540802,6.94106578826904,6.97247934341431,7.04359722137451,6.5311803817749,6.73434495925903,6.52552652359009,6.21913814544678,6.43445110321045,6.83402919769287,6.75570058822632,6.78834104537964,6.27183771133423,6.29694986343384
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Germany,DEU,8.12453651428223,8.51515865325928,8.55844020843506,7.97107601165771,8.22526741027832,7.73402547836304,7.19877624511719,7.46745777130127,7.30567359924316,7.94657707214355,7.59139728546143,7.63800621032715,7.48713827133179,7.69916105270386,7.10080814361572,7.47427129745483
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Ghana,GHA,6.90000009536743,7.88000011444092,..,..,..,..,..,..,..,..,12.914999961853,16.4050006866455,22.1949996948242,6.8899998664856,11.085000038147,8.16499996185303
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,India,IND,..,1.12999999523163,1.25,3.84502923976608,2.55666661262512,2.93666672706604,0.75,0.899999976158142,..,..,..,..,..,0.671999990940094,2.77666664123535,3.95523810386658
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Israel,ISR,..,12.2399997711182,11.6499996185303,12.203332901001,10.3633337020874,10.8599996566772,10.2066669464111,13.6833333969116,10.4833335876465,12.1549997329712,13.3033332824707,12.0275001525879,12.8800001144409,13.0450000762939,12.4475002288818,12.3149995803833
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Italy,ITA,6.42351579666138,6.39987707138062,5.98003721237183,6.2329044342041,5.91753435134888,6.09509944915771,6.1955714225769,6.14128112792969,6.08023262023926,6.09964609146118,6.04091215133667,6.33488368988037,5.706139087677,5.68370676040649,5.74669361114502,6.14948797225952
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Japan,JPN,12.4280920028687,12.4848852157593,11.2994155883789,11.6963701248169,11.6533088684082,10.7698602676392,9.5171537399292,9.7999267578125,9.58136653900146,10.2183704376221,10.3529005050659,9.99267673492432,9.55666637420654,9.39680290222168,10.3569231033325,10.5822792053223
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Jordan,JOR,..,5.91466665267944,3.8273913860321,3.93439030647278,4.00902462005615,3.81424999237061,5.81780481338501,5.06524991989136,4.57800006866455,4.31424999237061,5.77124977111816,3.53609752655029,6.28512191772461,7.63317060470581,9.72236824035645,10.6537837982178
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kenya,KEN,10.6305885314941,10.4738636016846,10.2561359405518,9.79382991790771,9.76489353179932,9.96574974060059,10.3260469436646,10.1620931625366,11.1199998855591,11.193829536438,11.9910640716553,11.3101959228516,10.7913722991943,10.5905885696411,9.55979156494141,9.53901958465576
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Korea, Rep.",KOR,5.61399984359741,5.33179998397827,5.05816316604614,4.98571443557739,4.86555576324463,5.42181825637817,5.03345441818237,5.14698123931885,5.06689643859863,5.09965515136719,5.04689645767212,4.86733341217041,4.49948263168335,4.76964902877808,4.72345447540283,4.74436378479004
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kuwait,KWT,2.24086952209473,3.30384612083435,2.87480759620667,3.26519227027893,3.26788473129272,3.04576921463013,3.57346153259277,3.19019222259521,3.08320760726929,3.40703701972961,2.77800011634827,2.85257148742676,3.02642846107483,2.70885705947876,3.43745756149292,3.40355920791626
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Malaysia,MYS,4.49534893035889,5.14298963546753,4.88132667541504,3.90081644058228,4.81648349761963,5.22344446182251,3.625,5.45359992980957,4.75387382507324,4.14299249649048,3.83755564689636,3.99542474746704,3.85181212425232,3.79269242286682,4.39074850082397,4.18083333969116
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: Remittance Prices Worldwide (Sending Countries),,,,,,,,,,,,,,,,,,,
Last Updated: 12/07/2020,,,,,,,,,,,,,,,,,,,
